customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00064,Male,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),113.72,4890.34,Yes
CUST-00065,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),31.0,1622.18,No
CUST-00066,Female,0,Yes,Yes,19,Yes,No,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,21.47,398.03,No
CUST-00067,Female,0,Yes,Yes,30,Yes,No phone service,No,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,59.85,1792.35,No
CUST-00068,Male,0,Yes,Yes,6,Yes,Yes,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37.66,234.09,No
CUST-00069,Male,0,No,No,57,Yes,No phone service,No,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),36.6,2083.21,No
CUST-00070,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,47.07,415.32,Yes
CUST-00071,Male,1,No,Yes,9,Yes,No phone service,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),43.09,397.25,No
CUST-00072,Male,0,No,Yes,38,Yes,Yes,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,87.16,3325.59,No
CUST-00073,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),36.86,979.89,No
CUST-00074,Male,0,No,No,29,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),72.85,2113.62,No
CUST-00075,Female,0,No,No,36,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),117.63,4207.98,No
CUST-00076,Female,0,Yes,No,66,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),61.67,4067.11,No
CUST-00077,Male,0,No,No,42,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),82.83,3497.7,Yes
CUST-00078,Male,0,Yes,No,51,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,115.91,5912.33,No
CUST-00079,Male,0,No,Yes,55,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),31.9,1740.69,No
CUST-00080,Female,0,No,No,67,Yes,No,DSL,No,No internet service,Yes,No,No,No,Two year,Yes,Mailed check,60.28,4025.2,No
CUST-00081,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Credit card (automatic),103.87,821.63,No
CUST-00082,Female,0,No,No,22,Yes,No phone service,No,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,112.16,2460.8,No
CUST-00083,Male,1,Yes,Yes,62,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),78.72,4861.71,Yes
CUST-00084,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),32.49,1952.69,No
CUST-00085,Female,0,No,Yes,39,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,109.05,4258.39,No
CUST-00086,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),35.62,1528.16,No
CUST-00087,Male,0,Yes,No,23,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,Yes,Electronic check,53.64,1254.18,No
CUST-00088,Female,0,No,Yes,50,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No,Yes,Two year,No,Mailed check,55.93,2792.21,No
CUST-00089,Female,0,No,No,57,Yes,Yes,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,63.18,3613.29,Yes
CUST-00090,Male,0,Yes,No,32,Yes,Yes,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,97.81,3116.04,No
CUST-00091,Female,0,Yes,No,15,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,No,One year,No,Electronic check,99.02,1488.3,No
CUST-00092,Female,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,Yes,No,No,No,One year,Yes,Credit card (automatic),90.69,1908.99,No
CUST-00093,Male,0,Yes,Yes,56,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),20.23,1125.77,No
CUST-00094,Male,1,Yes,Yes,61,No,No,DSL,No internet service,No,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),75.05,4579.72,No
CUST-00095,Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),93.5,6537.79,No
CUST-00096,Female,0,No,No,71,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,62.91,4463.49,No
CUST-00097,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Electronic check,113.44,7824.53,Yes
CUST-00098,Male,1,Yes,No,29,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.2,2920.75,Yes
CUST-00099,Male,0,No,No,22,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),82.45,1819.13,No
CUST-00100,Female,0,Yes,Yes,31,Yes,Yes,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.3,759.22,No
CUST-00101,Male,0,No,No,56,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,One year,No,Mailed check,83.89,4694.11,No
CUST-00102,Female,0,No,Yes,8,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),110.07,882.98,No
CUST-00103,Male,0,Yes,No,30,No,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),56.32,1680.4,No
CUST-00104,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.65,7172.98,No
CUST-00105,Female,0,Yes,Yes,8,Yes,Yes,No,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,49.63,393.04,No
CUST-00106,Male,0,No,No,12,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,75.58,913.87,Yes
CUST-00107,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),83.49,4758.18,No
CUST-00108,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.48,168.58,Yes
CUST-00109,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,107.14,3646.12,No
CUST-00110,Male,0,No,No,20,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,41.7,824.84,Yes
CUST-00111,Male,0,No,Yes,63,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,44.5,2791.24,No
CUST-00112,Male,0,Yes,No,51,No,No,No,No,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),89.11,4541.08,No
CUST-00113,Female,0,No,No,33,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,35.9,1176.2,No
CUST-00114,Female,0,No,No,34,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,No,One year,Yes,Electronic check,64.89,2194.36,No
CUST-00115,Female,0,No,Yes,14,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),20.02,289.32,No
CUST-00116,Male,0,No,Yes,5,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,32.24,183.23,No
CUST-00117,Male,0,Yes,No,31,No,No,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.56,2667.81,No
CUST-00118,Male,1,No,No,51,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,93.49,4763.83,No
CUST-00119,Male,1,No,No,27,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,29.65,802.29,No
CUST-00120,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Two year,Yes,Electronic check,41.0,2565.79,No
CUST-00121,Female,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),27.99,501.59,No
CUST-00122,Male,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,61.77,863.28,Yes
CUST-00123,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.74,158.5,Yes
CUST-00124,Male,0,No,Yes,72,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,62.17,4468.51,Yes
CUST-00125,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,91.94,3396.13,Yes
CUST-00126,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,87.02,2185.21,No
CUST-00127,Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),46.33,2320.69,No
CUST-00128,Male,0,No,No,72,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.05,6202.88,No
CUST-00129,Female,0,No,No,52,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),111.7,5790.86,Yes
CUST-00130,Female,0,Yes,Yes,55,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),53.1,2913.82,No
CUST-00131,Male,0,No,No,58,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,51.24,2987.08,Yes
CUST-00132,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,75.72,5223.84,No
CUST-00133,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),42.8,2438.34,No
CUST-00134,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,83.81,1004.9,No
CUST-00135,Male,1,No,No,42,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,102.06,4302.22,Yes
CUST-00136,Male,0,Yes,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),64.39,3212.04,No
CUST-00137,Male,0,No,Yes,18,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),86.63,1566.05,No
CUST-00138,Male,0,No,No,20,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),83.84,1679.44,No
CUST-00139,Male,0,No,No,23,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),21.91,490.27,No
CUST-00140,Female,0,Yes,Yes,25,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No,Two year,No,Electronic check,36.53,910.26,No
CUST-00141,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,108.25,4754.66,Yes
CUST-00142,Male,0,Yes,Yes,27,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,112.83,3033.68,No
CUST-00143,Female,0,Yes,No,28,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,96.82,2722.92,Yes
CUST-00144,Male,0,No,No,16,No,Yes,No,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,111.05,1764.6,No
CUST-00145,Male,0,Yes,No,67,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,48.92,3285.13,No
CUST-00146,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),43.02,1841.24,No
CUST-00147,Male,0,Yes,Yes,60,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,56.81,3422.17,No
CUST-00148,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,23.59,1576.33,No
CUST-00149,Female,0,No,No,24,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,99.8,2398.56,Yes
CUST-00150,Female,1,No,No,66,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),117.4,7742.74,No
CUST-00151,Male,1,Yes,Yes,1,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),101.23,79.56,No
CUST-00152,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),74.05,3537.72,No
CUST-00153,Male,0,Yes,Yes,69,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,47.82,3280.6,No
CUST-00154,Female,0,Yes,Yes,25,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,37.97,951.79,No
CUST-00155,Female,0,Yes,Yes,71,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),54.77,3888.38,Yes
CUST-00156,Female,0,Yes,No,26,Yes,No phone service,No,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,85.36,2225.31,No
CUST-00157,Male,0,No,Yes,17,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,One year,No,Bank transfer (automatic),63.15,1066.76,No
CUST-00158,Female,1,Yes,Yes,53,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),112.34,5932.31,No
CUST-00159,Male,1,Yes,No,0,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,One year,Yes,Mailed check,104.28, ,Yes
CUST-00160,Female,0,No,No,60,Yes,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,28.34,1710.3,No
CUST-00161,Female,1,Yes,Yes,2,Yes,Yes,DSL,No,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),31.28,66.3,Yes
CUST-00162,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),86.3,5793.21,No
CUST-00163,Female,0,No,No,40,No,No,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,41.31,1651.38,Yes
CUST-00164,Female,0,No,No,36,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,97.89,3526.69,Yes
CUST-00165,Male,0,No,No,50,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),77.73,3879.46,No
CUST-00166,Male,0,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,41.21,566.23,No
CUST-00167,Female,1,Yes,Yes,7,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),66.35,448.68,Yes
CUST-00168,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),59.01,2175.84,No
CUST-00169,Female,0,Yes,No,55,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),106.19,5867.07,No
CUST-00170,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),21.25,962.3,No
CUST-00171,Male,0,No,No,9,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,108.48,966.94,Yes
