gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,has_support,actual_churn,churn_probability,churn_predicted
0,0,1,0,1,2,1,0,0,1,0,2,2,0,1,2,3,95.99,291.79,97.26333333333334,0,0,0.4473397571917043,0
1,1,0,1,1,0,1,0,1,2,0,2,1,0,1,2,7,27.65,192.23,27.46142857142857,0,0,0.44688546287545516,0
1,0,1,0,1,0,0,2,2,2,2,2,2,0,1,1,5,70.01,349.55,69.91,3,0,0.4468462483868312,0
1,0,0,0,1,0,1,0,0,0,0,2,2,0,0,3,7,92.01,639.01,91.28714285714285,0,0,0.44662530443040105,0
0,0,0,0,0,2,2,0,0,2,0,2,1,0,0,3,5,42.95,222.72,44.544,0,0,0.44561634241017845,0
1,0,0,1,1,0,1,0,0,0,2,1,0,0,1,1,7,27.58,212.74,30.391428571428573,1,0,0.4454048607196171,0
1,1,1,0,1,2,1,0,1,1,0,0,1,0,1,3,3,100.32,294.68,98.22666666666667,0,0,0.44539042354270414,0
1,0,0,1,1,2,1,2,0,1,2,0,0,0,1,0,3,56.39,170.77,56.92333333333334,2,0,0.44509199169823893,0
0,0,0,0,0,0,1,2,0,2,2,2,0,0,1,2,14,98.91,1387.13,99.0807142857143,2,0,0.44496672714846874,0
0,0,0,0,1,2,1,0,2,0,2,1,2,0,1,2,11,22.02,233.18,21.19818181818182,2,1,0.44494184445868357,0
0,0,1,0,1,2,1,1,2,0,2,0,0,0,1,1,6,21.29,120.95,20.158333333333335,2,0,0.4438152810320784,0
0,0,1,0,1,2,2,0,2,0,1,2,2,0,1,1,3,41.34,129.14,43.04666666666666,1,0,0.44240001098377213,0
0,0,0,0,1,0,0,0,2,2,0,1,1,0,1,3,11,20.99,222.64,20.24,1,1,0.4423337558202316,0
1,0,0,0,1,0,0,2,0,2,0,0,2,0,1,3,20,31.78,638.64,31.932,1,1,0.44167465534200884,0
0,0,1,0,1,0,1,2,2,1,1,0,2,0,0,0,1,99.0,82.69,82.69,2,1,0.44165940705202494,0
0,0,0,1,1,0,1,1,1,2,2,0,1,0,1,3,17,21.21,336.87,19.815882352941177,1,1,0.44135432641330424,0
0,0,0,1,1,2,2,2,1,0,1,2,0,0,1,1,7,47.36,330.93,47.27571428571429,1,1,0.44112237613505695,0
1,1,1,0,1,0,2,2,1,0,1,0,0,0,1,2,14,52.37,707.66,50.54714285714285,1,0,0.4409609550473907,0
1,0,0,1,1,0,0,2,0,2,2,1,2,0,0,0,5,74.82,374.81,74.962,2,1,0.44053278014084785,0
0,0,1,0,1,1,0,2,2,2,1,0,2,0,1,2,8,83.67,666.15,83.26875,2,0,0.44004805651765444,0
0,0,1,0,1,0,0,1,0,2,0,2,2,0,0,0,4,109.76,441.15,110.2875,0,1,0.4397163739597181,0
0,0,1,0,1,0,0,2,2,1,2,1,1,0,1,3,9,88.44,791.68,87.96444444444444,3,0,0.43945102676345715,0
0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,3,15,47.9,711.07,47.40466666666667,0,1,0.43904964762835147,0
0,1,0,1,1,2,1,0,0,2,0,0,1,0,0,2,2,39.36,95.74,47.87,0,1,0.43876573407909647,0
0,0,1,0,0,2,1,0,2,2,1,0,1,0,1,1,1,55.36,55.73,55.73,1,0,0.4381443491652918,0
0,1,1,1,1,2,0,0,1,2,1,0,0,0,1,3,7,59.27,391.44,55.92,0,1,0.43732618707576054,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,13,57.04,739.04,56.849230769230765,0,1,0.43603483398499276,0
0,1,0,0,1,1,2,1,0,0,0,2,1,0,1,1,17,72.28,1234.97,72.64529411764705,0,0,0.4348616143045847,0
0,0,0,0,0,2,2,2,0,0,0,2,2,0,1,1,14,50.98,711.04,50.78857142857142,1,1,0.43453847620983077,0
1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2,73.72,134.43,67.215,0,0,0.4338267196596485,0
1,0,1,0,1,2,1,2,0,0,0,0,1,0,1,2,6,98.22,572.58,95.43,1,0,0.4335480851461786,0
1,0,0,0,1,2,0,0,0,0,0,1,1,0,1,2,8,118.06,938.35,117.29375,0,0,0.43348325253381337,0
1,0,0,0,1,0,1,2,1,1,2,1,1,0,0,0,14,20.0,283.06,20.21857142857143,2,0,0.433403824989773,0
0,0,1,0,1,2,0,2,2,0,2,1,1,0,1,1,10,19.37,195.94,19.594,3,0,0.433000947340123,0
1,0,1,0,1,2,2,1,0,2,0,0,0,0,1,3,6,79.65,479.29,79.88166666666667,0,0,0.43291411308286937,0
1,0,0,0,1,2,0,1,0,1,0,0,2,0,1,0,16,39.78,628.44,39.2775,0,0,0.43262682277215175,0
0,0,0,0,1,2,1,2,0,0,1,0,0,0,0,3,12,110.88,1327.14,110.59500000000001,1,0,0.43218577580971884,0
1,1,0,0,1,0,0,1,0,1,2,2,0,0,1,1,23,56.79,1314.96,57.17217391304348,1,0,0.431924922859356,0
1,0,1,0,1,0,0,2,2,2,0,0,0,0,1,2,5,34.46,182.33,36.466,2,1,0.43156927866949585,0
0,0,0,1,1,2,2,0,2,0,2,1,0,0,1,2,2,25.6,53.28,26.64,2,0,0.43133144386814243,0
1,0,1,0,0,2,1,0,0,2,0,1,2,0,1,0,1,65.57,80.79,80.79,0,1,0.4312622656798149,0
1,0,0,0,0,2,0,0,1,1,0,0,1,0,1,3,12,61.73,725.11,60.42583333333334,0,1,0.4310815004816711,0
0,0,1,1,1,1,0,0,0,2,0,2,2,0,1,1,2,77.51,155.42,77.71,0,1,0.4305355547930475,0
1,0,1,0,1,0,1,2,0,2,0,2,2,0,1,0,9,73.68,663.33,73.70333333333333,1,0,0.4301429064592776,0
0,0,1,0,0,0,0,2,2,1,2,0,0,0,1,3,7,108.65,766.26,109.46571428571428,3,0,0.4299033428296652,0
1,0,1,0,1,0,0,1,2,2,2,1,2,0,1,2,8,118.03,940.54,117.5675,2,1,0.4291008683057823,0
0,0,1,0,0,2,1,2,0,1,1,0,1,0,1,3,18,37.22,673.82,37.434444444444445,1,1,0.42906065103111435,0
0,0,1,0,0,2,1,2,0,1,0,2,1,0,1,0,2,112.76,250.68,125.34,1,1,0.4282370767325756,0
0,0,1,0,1,0,1,2,0,0,0,2,2,0,1,2,17,51.62,886.82,52.16588235294118,1,0,0.4273880282578613,0
0,0,1,0,1,0,0,2,0,2,1,0,2,0,1,2,23,35.58,821.91,35.735217391304346,1,1,0.4272064608712173,0
1,1,0,0,1,2,0,0,1,0,1,1,2,0,0,3,17,80.1,1373.53,80.79588235294118,0,1,0.42695740560312584,0
0,0,1,0,1,0,1,0,0,0,2,1,2,0,1,0,17,28.44,478.9,28.170588235294115,1,1,0.4256845060147027,0
0,1,1,1,1,0,1,1,0,0,2,2,0,0,1,0,14,28.71,405.01,28.929285714285715,1,1,0.42468748691608355,0
0,0,1,1,1,2,1,0,0,2,2,1,2,0,0,1,2,39.07,88.08,44.04,1,0,0.4244178948475429,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,80.66,1040.92,80.07076923076923,0,0,0.4240481265116045,0
1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,3,24,67.88,1619.14,67.46416666666667,0,0,0.42333315052254045,0
1,0,1,0,1,0,1,0,2,0,2,1,0,0,1,1,7,28.54,180.13,25.732857142857142,2,0,0.4232199038563097,0
0,1,0,1,1,2,0,2,2,1,1,1,0,0,1,2,12,30.93,381.42,31.785,2,0,0.4228320795623323,0
1,0,1,0,1,2,2,0,0,2,1,0,1,0,1,0,9,37.51,340.73,37.85888888888889,0,1,0.4225744889118209,0
1,0,0,1,1,0,0,0,2,0,2,1,2,0,1,3,9,73.89,659.9,73.32222222222222,2,0,0.42201745548553266,0
0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,16,35.16,548.89,34.305625,0,1,0.4211185488670731,0
0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,1,11,108.32,1181.31,107.39181818181818,0,1,0.4205033927223099,0
1,0,1,0,1,2,0,0,1,1,2,2,1,0,1,3,16,41.53,670.85,41.928125,1,0,0.4176397143374521,0
0,0,0,0,1,2,0,2,0,1,1,1,0,0,0,1,18,43.82,777.93,43.218333333333334,1,1,0.41760670071873346,0
1,0,1,0,1,0,0,0,2,0,1,2,2,0,1,0,8,77.04,639.14,79.8925,1,1,0.41719973818080314,0
0,0,1,0,1,2,2,2,0,0,0,2,0,0,0,2,2,112.58,231.31,115.655,1,0,0.4170355191770822,0
0,0,1,1,1,2,2,1,1,2,2,0,2,0,1,1,7,87.56,606.78,86.68285714285715,1,0,0.4161472816187691,0
0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,3,14,69.34,961.61,68.68642857142858,0,1,0.4152186648580728,0
0,0,1,1,1,2,0,2,0,1,1,2,2,0,1,3,15,83.1,1212.68,80.84533333333334,1,0,0.4150622109847986,0
0,0,0,1,1,1,0,2,0,1,1,2,0,0,0,2,13,65.93,855.74,65.82615384615384,1,0,0.41488160670145346,0
1,1,0,0,0,0,1,1,2,2,0,0,2,0,1,3,18,65.32,1180.47,65.58166666666666,1,0,0.41476341898497515,0
0,1,0,1,1,1,0,0,0,0,0,2,2,0,1,2,14,104.32,1452.06,103.71857142857142,0,0,0.4144216223536171,0
0,0,0,0,1,2,0,0,2,2,0,2,2,0,1,1,8,87.9,691.76,86.47,1,1,0.41438614474676516,0
0,0,1,0,1,0,2,0,1,2,1,2,2,0,1,3,18,79.17,1430.74,79.48555555555555,0,1,0.41381001316375227,0
1,0,1,0,1,2,0,0,0,1,2,0,1,0,1,0,9,100.75,900.3,100.03333333333333,1,0,0.41375441741869057,0
1,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,20,36.8,734.49,36.7245,0,1,0.41166212474007857,0
1,0,1,0,1,0,2,1,0,1,1,2,2,0,1,0,16,107.14,1724.08,107.755,0,0,0.41070562404310157,0
0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,2,22,105.57,2321.35,105.51590909090909,1,0,0.41021541946668455,0
1,1,1,0,1,0,0,1,0,2,0,2,0,0,0,0,15,19.27,299.08,19.938666666666666,0,0,0.40923204739785174,0
0,1,1,0,0,0,2,2,1,1,1,1,1,0,1,2,25,21.19,522.0,20.88,1,1,0.4090716545016574,0
0,0,1,0,1,2,1,1,0,0,2,0,0,0,1,0,14,99.2,1394.13,99.5807142857143,1,0,0.4076282404339794,0
1,0,0,0,1,0,1,0,2,0,2,1,1,0,1,1,12,92.62,1093.52,91.12666666666667,2,0,0.40758938082619134,0
1,0,0,0,1,0,1,2,2,0,1,2,0,0,1,2,19,43.61,831.44,43.760000000000005,2,0,0.40713450960505193,0
1,0,0,0,1,2,2,0,0,2,2,0,1,0,0,2,12,75.58,913.87,76.15583333333333,1,1,0.40700297984047923,0
1,0,1,0,1,0,1,1,0,0,2,2,1,0,1,2,23,55.57,1288.8,56.03478260869565,1,0,0.4067373789466125,0
0,0,1,0,1,0,2,1,2,2,1,2,0,0,0,3,12,42.77,511.22,42.60166666666667,1,1,0.4064073130624604,0
0,0,1,0,1,0,0,2,2,2,0,2,1,0,0,3,12,22.14,264.29,22.02416666666667,2,0,0.40613245495666794,0
1,1,1,0,1,2,0,2,1,2,0,0,0,0,1,0,12,65.16,762.45,63.5375,1,0,0.406004958439025,0
0,0,1,1,1,1,1,0,0,1,0,0,2,0,0,2,7,27.53,182.61,26.087142857142858,0,0,0.4059023529721289,0
1,0,0,0,1,1,1,2,0,0,1,0,0,0,1,1,20,100.17,2002.37,100.1185,1,0,0.40572127738113206,0
0,0,0,1,1,0,1,2,0,1,0,2,1,0,0,0,8,82.09,658.34,82.2925,1,0,0.403823474032155,0
1,0,0,0,1,2,1,2,1,2,1,0,1,0,1,0,18,87.43,1564.51,86.91722222222222,1,1,0.403173348177636,0
0,1,1,1,1,0,0,0,0,1,2,2,1,0,1,2,17,73.08,1253.31,73.72411764705882,1,1,0.40288449248878644,0
0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,3,7,107.97,762.51,108.92999999999999,0,1,0.4002987940029843,0
1,0,1,1,1,2,0,0,0,1,2,1,1,0,1,0,11,20.66,210.12,19.10181818181818,1,1,0.3999735662433558,0
0,0,1,0,1,2,1,0,0,2,1,1,0,0,0,2,11,83.37,913.15,83.01363636363637,0,0,0.3993326527115955,0
1,0,0,1,1,0,1,1,1,0,0,2,0,0,1,1,15,50.4,748.43,49.89533333333333,0,0,0.39897422503530666,0
0,0,1,1,1,2,1,0,0,0,0,0,1,0,1,0,7,30.7,233.73,33.39,0,1,0.39894292278586735,0
1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,13,95.62,1247.83,95.98692307692308,0,1,0.3987908042788143,0
1,0,1,0,1,2,0,1,0,0,2,2,0,0,1,2,19,99.3,1904.33,100.2278947368421,1,1,0.3980107350429495,0
1,0,0,0,1,2,1,0,0,2,2,0,2,0,0,1,15,83.59,1274.0,84.93333333333334,1,0,0.39760454989566896,0
1,0,0,0,1,2,0,1,1,1,1,0,2,0,1,3,32,32.12,1025.35,32.0421875,0,0,0.3972655591396346,0
1,1,0,1,1,1,2,2,0,1,2,0,1,0,1,1,17,89.92,1518.17,89.30411764705883,2,0,0.3971802049852935,0
1,0,1,1,1,2,2,0,1,0,0,0,2,0,1,1,6,37.66,234.09,39.015,0,0,0.3958929140371994,0
0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,5,55.82,282.1,56.42,1,1,0.39465798967020627,0
0,1,0,0,1,1,0,1,1,0,1,2,2,0,0,1,30,61.61,1854.95,61.83166666666667,0,0,0.39462722207812273,0
0,0,1,0,1,1,2,0,2,2,0,2,1,0,1,1,4,87.67,357.85,89.4625,1,1,0.39433505830487875,0
1,0,1,0,0,1,1,2,1,0,2,0,1,0,0,0,16,20.83,323.1,20.19375,2,0,0.39379285519671325,0
0,0,0,0,1,1,2,0,0,0,2,1,1,0,1,2,22,112.16,2460.8,111.85454545454546,1,0,0.3935078019687143,0
1,0,0,1,1,0,2,0,0,1,0,2,0,0,1,1,6,117.69,707.11,117.85166666666667,0,0,0.3933619492123826,0
1,0,1,0,1,0,1,2,1,0,0,1,0,0,1,2,16,87.6,1406.37,87.898125,1,0,0.3926552557271432,0
0,1,1,0,1,2,1,2,2,1,2,1,0,0,1,2,13,111.41,1443.39,111.03,3,0,0.39247261255204435,0
1,0,1,0,1,0,2,0,2,1,0,2,1,0,1,2,8,60.73,506.4,63.3,1,1,0.3923812452722406,0
0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,2,10,77.73,782.5,78.25,1,0,0.39233775004684,0
0,0,0,0,1,2,0,0,0,2,1,1,0,0,0,3,19,106.21,2022.32,106.4378947368421,0,0,0.39226702793059187,0
0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,2,16,68.89,1104.59,69.036875,0,1,0.39184190404738234,0
0,0,1,0,1,0,1,2,2,0,2,2,1,0,0,2,17,26.64,440.54,25.914117647058823,3,1,0.39053656182888347,0
1,0,0,0,1,2,2,2,0,0,1,2,0,0,0,2,20,64.88,1299.57,64.9785,1,0,0.38943998799649676,0
0,1,1,0,1,1,2,2,2,0,0,0,1,0,0,1,6,100.36,605.09,100.84833333333334,2,1,0.38923762205481843,0
1,0,0,0,1,2,0,1,2,2,1,1,2,0,1,2,25,42.4,1068.01,42.7204,1,1,0.388614249099403,0
0,0,1,0,1,2,1,1,2,2,0,1,2,0,0,3,12,56.19,665.67,55.4725,1,1,0.3882819821400121,0
0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,12,19.52,233.63,19.469166666666666,0,0,0.38812979664064645,0
1,0,0,0,1,0,1,1,2,1,2,2,2,0,0,3,22,63.4,1396.88,63.49454545454546,2,1,0.3875834268812067,0
0,0,0,0,1,2,2,0,1,1,0,0,0,0,1,0,17,32.77,549.33,32.313529411764705,0,1,0.38733548544995217,0
1,0,1,1,0,0,0,1,0,0,1,0,2,0,1,2,23,59.44,1369.64,59.54956521739131,0,1,0.38701482472103743,0
1,0,0,1,1,0,0,0,0,2,0,2,1,0,1,3,18,72.48,1310.48,72.80444444444444,0,1,0.38683796466897247,0
1,0,1,0,1,0,2,0,1,0,0,0,1,0,1,1,13,86.96,1132.82,87.14,0,1,0.38659128068819565,0
0,0,1,0,1,0,2,0,2,2,2,1,2,0,1,1,13,85.74,1142.81,87.90846153846154,2,1,0.3858621468967229,0
0,1,1,0,1,2,1,2,1,0,0,1,0,0,1,3,21,85.29,1805.27,85.96523809523809,1,0,0.3857049397330081,0
1,1,1,0,1,0,0,0,1,0,2,0,0,0,1,0,21,71.73,1507.95,71.80714285714286,1,1,0.3851550256212494,0
1,0,1,0,1,0,1,0,2,2,1,2,0,0,1,2,14,61.77,863.28,61.66285714285714,1,1,0.3849278600239207,0
0,0,0,1,1,1,1,2,2,2,0,2,0,0,1,1,6,100.5,599.88,99.98,2,0,0.3847964118124989,0
0,0,1,0,1,2,1,0,0,2,1,1,0,0,0,1,17,21.99,375.59,22.093529411764706,0,0,0.3845378601010774,0
1,1,0,0,1,2,1,1,2,0,1,0,0,0,0,3,22,39.69,874.88,39.767272727272726,1,0,0.3843848572736164,0
1,0,0,1,1,2,0,2,0,1,1,0,2,0,0,1,18,66.67,1192.84,66.26888888888888,1,0,0.38351587769679724,0
1,0,0,1,1,0,2,2,0,0,0,1,1,0,1,0,18,30.65,555.03,30.834999999999997,1,0,0.3828335993479176,0
0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,20,33.71,685.12,34.256,0,0,0.38249516718510423,0
0,0,1,0,1,2,2,1,0,0,0,0,0,0,1,1,21,22.03,466.69,22.223333333333333,0,0,0.3820516043665522,0
0,0,0,0,0,2,2,2,2,1,0,1,2,0,0,0,10,64.66,661.16,66.116,2,1,0.38200624329262134,0
0,0,0,0,1,2,0,0,2,2,0,2,2,0,0,1,10,93.0,929.4,92.94,1,1,0.3818370992913975,0
0,1,1,0,1,2,0,1,0,2,0,2,2,0,1,2,29,47.59,1386.0,47.793103448275865,0,1,0.3811492031202591,0
1,0,0,1,1,2,1,0,0,2,1,2,2,0,0,0,9,116.78,1045.57,116.17444444444443,0,1,0.3799540428624153,0
0,0,0,0,1,0,0,1,0,2,1,1,0,0,1,2,37,25.0,934.13,25.246756756756756,0,1,0.3793893948260861,0
1,0,0,1,1,1,0,0,0,2,1,0,1,0,1,2,19,107.26,2034.88,107.09894736842107,0,1,0.37922549516854825,0
1,0,1,0,1,2,2,0,0,2,0,0,0,0,1,1,14,37.01,492.54,35.181428571428576,0,0,0.37908933208498613,0
0,0,0,1,1,0,0,2,0,2,2,0,0,0,1,0,22,77.15,1689.45,76.79318181818182,2,0,0.3786437635585817,0
0,0,0,0,1,0,2,0,1,0,1,1,2,0,1,2,33,31.84,1054.9,31.96666666666667,0,0,0.3782945354708947,0
0,0,1,0,1,2,0,2,2,2,1,2,1,0,1,0,16,82.02,1312.26,82.01625,2,0,0.37812447969372465,0
0,0,1,1,1,2,2,0,2,0,0,2,0,0,1,3,7,21.62,141.01,20.14428571428571,1,0,0.37788580070820615,0
1,0,1,1,1,2,1,2,0,0,1,0,1,0,1,1,16,77.46,1238.15,77.384375,1,0,0.3767297255692966,0
0,0,1,0,1,2,0,2,2,2,0,2,2,0,1,1,13,106.63,1382.68,106.36,2,0,0.3763343649186029,0
1,1,0,0,1,2,0,2,0,0,0,2,0,0,0,3,28,21.04,603.69,21.560357142857146,1,0,0.37621287323774627,0
1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,3,24,88.76,2130.27,88.76125,0,0,0.37616257898980693,0
0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,17,48.67,810.63,47.68411764705883,1,1,0.37591373050636107,0
1,0,1,0,1,0,2,0,1,0,0,2,0,0,1,0,15,52.96,790.94,52.72933333333334,0,0,0.3758998616732922,0
0,0,0,0,1,2,1,2,2,2,0,0,2,0,0,3,19,45.1,845.96,44.52421052631579,2,1,0.37558417597831945,0
0,1,0,1,1,2,1,1,1,2,0,2,2,0,0,2,19,79.58,1503.32,79.12210526315789,0,0,0.3752363091799686,0
0,0,1,0,1,0,0,1,0,2,1,2,1,0,1,3,33,85.29,2821.49,85.49969696969697,0,0,0.37523245455924625,0
0,1,0,0,1,0,2,2,1,1,0,2,0,0,0,2,27,24.19,642.53,23.797407407407405,1,0,0.3751412206313107,0
0,0,0,1,0,0,1,0,0,2,2,2,1,0,1,1,20,93.91,1876.46,93.82300000000001,1,0,0.3750355258467026,0
1,0,0,0,1,2,2,0,2,2,2,0,2,0,0,2,14,64.39,903.82,64.55857142857143,2,0,0.37494188968198827,0
0,0,1,1,1,0,2,0,1,2,0,0,1,0,1,3,15,53.33,795.45,53.03,0,0,0.37422468263575875,0
1,1,0,0,1,0,2,0,1,1,1,0,0,0,1,3,28,113.1,3160.86,112.88785714285714,0,0,0.3736054421041729,0
1,1,1,0,1,2,0,2,0,1,2,0,1,0,0,1,24,48.14,1154.11,48.087916666666665,2,0,0.37335455864403966,0
1,0,1,0,1,0,0,2,2,0,2,2,0,0,1,2,18,108.84,1952.23,108.45722222222223,3,0,0.37331318357107707,0
1,0,1,0,1,2,1,2,0,0,2,0,1,0,0,1,17,98.92,1691.73,99.51352941176471,2,0,0.37271511911764055,0
